date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:34:21	5085/5085	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:35%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/company-listing/company-logo-5.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/company-listing/company-logo-5.png	(from https://ocsolutions.co.in/html/jobportal/new/company-listing.html)
11:34:21	3331/3331	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:35%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/company-listing/company-logo-6.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/company-listing/company-logo-6.png	(from https://ocsolutions.co.in/html/jobportal/new/company-listing.html)
11:34:22	145724/145724	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:30%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/company-listing/add-banner.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/company-listing/add-banner.png	(from https://ocsolutions.co.in/html/jobportal/new/company-listing.html)
11:34:23	3970/3970	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:27%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/company-details/company-logo.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/company-details/company-logo.png	(from https://ocsolutions.co.in/html/jobportal/new/company-details.html)
11:34:26	234296/234296	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:27%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/company-details/banner.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/company-details/banner.png	(from https://ocsolutions.co.in/html/jobportal/new/company-details.html)
11:34:26	594270/594270	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:32%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/team-meeting.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/team-meeting.png	(from https://ocsolutions.co.in/html/jobportal/new/employer-login.html)
11:34:26	152154/152154	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:37:05%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/candidate-deails/right-banner.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/candidate-deails/right-banner.png	(from https://ocsolutions.co.in/html/jobportal/new/company-details.html)
11:34:26	170542/170542	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:31%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/post-job/banner.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/post-job/banner.png	(from https://ocsolutions.co.in/html/jobportal/new/post-job.html)
11:34:26	3331/3331	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:17%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-1.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-1.png	(from https://ocsolutions.co.in/html/jobportal/new/job-listing.html)
11:34:27	3540/3540	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Mar%202021%2009:38:19%20GMT	https://ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-2.png	C:/Users/shubh/Downloads/Jobportal/ocsolutions.co.in/html/jobportal/new/images/job-listing/company-logo-2.png	(from https://ocsolutions.co.in/html/jobportal/new/job-listing.html)
